business_code,name,tci_classification,official_classification,city_name,supplier_code,supplier_name
HO11819,Palm Beach Resort,budget,1str,Gopalpur,DR11538,Palm Beach Resort
HO10388,The Residency,moderate,4str,Chennai,DR10771,The Residency
HO10596,Ikhaya,budget,3str,New Delhi,DR11029,Ikhaya
HO12267,Dolmaling,budget,standard-hotel,Kathmandu,DR12655,Dolmaling
HO11724,DoubleTree by Hilton - Panaji,budget,5str,,DR11538,DoubleTree by Hilton - Panaji
HO11463,WGH Poetree,moderate,4str,Thekkady (Periyar/Kumily),DR12193,WGH Poetree
HO10943,Bissau Palace,budget,3str,Jaipur,DR10242,Bissau Palace
HO11986,Courtyard by Marriott,budget,5str,Nasik,DR11538,Courtyard by Marriott
HO11139,Utsav Camp,first-class,1str,Sariska,DR11538,Utsav Camp
HO11296,Anantha Heritage,budget,2str,Puducherry (Pondicherry),DR11612,Anantha Heritage
HO11441,Rahat,budget,3str,Shimla,DR10606,Rahat
HO10250,Castle Bera,moderate,3str,Pali (RJ) ,DR10549,Castle Bera
HO12114,Amaana Resorts,budget,1str,Thekkady (Periyar/Kumily),DR11538,Amaana Resorts
HO11181,Serkong House,moderate,3str,Dharamshala,DR10592,Serkong House
HO11596,Chomu Palace,moderate,5str,Jaipur,DR12360,Chomu Palace
HO11646,Radisson Blue Alibaug,budget,5str,,DR11538,Radisson Blue Alibaug
HO10803,Dera Masuda,moderate,4str,Pushkar,DR11141,Dera Masuda
HO11179,Ranthambhore National Resort,budget,4str,Ranthambore,DR10773,Ranthambhore National Resort
HO10968,Baragarh Resort & Spa - IHCL SeleQtions,first-class,5str,Manali,DR11175,Baragarh Resort & Spa - IHCL SeleQtions
HO10005,Taj Hotel & Convention Centre,first-class,5str,Agra,DR10043,Taj Hotel & Convention Centre
HO10844,Country Inn & Suites (Sector 12),budget,4str,Gurgaon,DR10706,Country Inn & Suites (Sector 12)
HO10378,Lemon Tree Premier (Ulsoor Lake),moderate,4str,Bengaluru,DR10495,Lemon Tree Premier (Ulsoor Lake)
HO11091,Welcomhotel By ITC Hotels,moderate,5str,Vadodara,DR11344,Welcomhotel By ITC Hotels
HO10155,The Leela Palace,lux,5str,Bengaluru,DR10128,The Leela Palace
HO11393,Anand At The Satluj,moderate,3str,Anandpur Sahib,DR10524,Anand At The Satluj
HO11160,Dewa Retreat,moderate,4str,Rishikesh,DR11501,Dewa Retreat
HO11634,Madhuban Hotel,moderate,3str,New Delhi,DR12546,Madhuban Hotel
HO10945,Mount Valley Resort,moderate,4str,Ranthambore,DR11181,Mount Valley Resort
HO11466,Fairfield By Marriott,moderate,4str,Agra,DR12060,Fairfield By Marriott
HO10380,Sawai Madhopur Lodge - IHCL SeleQtions,first-class,4str,Ranthambore,DR10402,Sawai Madhopur Lodge - IHCL SeleQtions
HO10275,The Malabar House,first-class,4str,Kochi (Cochin),DR10395,The Malabar House
HO10420,Bijolai Palace,moderate,3str,Jodhpur,DR10863,Bijolai Palace
HO11958,Radisson Goregaon,budget,5str,,DR11538,Radisson Goregaon
HO11147,Fatehâ€™s Retreat,first-class,1str,Ranthambore,DR11534,Fatehâ€™s Retreat
HO11116,"The Westin Resort & Spa, Himalayas",lux,5str,Rishikesh,DR11401,"The Westin Resort & Spa, Himalayas"
HO11070,Badi Kothi,moderate,1str,Prayagraj,DR11369,Badi Kothi
HO11553,Junglaat,budget,1str,Dharamshala,DR12297,Junglaat
HO11943,Comfort inn Snow Park,budget,4str,,DR11538,Comfort inn Snow Park
HO11020,Aangan Resort,budget,1str,Mandawa,DR11256,Aangan Resort
HO10228,Regenta Central RS,moderate,4str,Chennai,DR10079,Regenta Central RS
HO11155,Bassi Fort Palace,moderate,3str,Chittorgarh,DR11343,Bassi Fort Palace
HO10051,Udai Kothi,moderate,3str,,DR10231,Udai Kothi
HO11095,Trident,first-class,5str,Hyderabad,DR10617,Trident
HO11792,Bloom Boutique GK1,budget,3str,New Delhi,DR10070,Bloom Boutique GK1
HO10082,Udaigarh,moderate,3str,Udaipur (RJ),DR10232,Udaigarh
HO11218,The Serai,first-class,4str,Kabini,DR11407,The Serai
HO11424,Kyron,budget,3str,New Delhi,DR11873,Kyron
HO12207,Mahal Khandela,budget,3str,Jaipur,DR12295,Mahal Khandela
HO11869,Clarks Inn Suites,moderate,4str,Gwalior,DR12547,Clarks Inn Suites
HO11032,Sterling Kodai Lake,moderate,5str,Kodaikanal,DR11358,Sterling Kodai Lake
HO10247,The Elgin Fairlawn,moderate,heritage,Kolkata,DR10412,The Elgin Fairlawn
HO10947,Dileep Kothi,first-class,1str,Jaipur,DR11174,Dileep Kothi
HO11486,Sawai Shivir,first-class,1str,Ranthambore,DR12223,Sawai Shivir
HO10260,Le Meridien,moderate,5str,Gurgaon,DR10707,Le Meridien
HO12287,Ginger,budget,1str,Udaipur (RJ),DR12748,Ginger
HO10075,Treetop,moderate,3str,Thekkady (Periyar/Kumily),DR10295,Treetop
HO11421,Bhanwar Singh Palace,moderate,4str,Pushkar,DR11177,Bhanwar Singh Palace
HO10775,The Bagheera,first-class,1str,Jaipur,DR11108,The Bagheera
HO10139,Suba Palace,budget,3str,Mumbai,DR10466,Suba Palace
HO12195,Royal Lotus View,moderate,4str,Bengaluru,DR10974,Royal Lotus View
HO11342,"Welcomhotel By ITC Hotels, The Savoy",lux,5str,Mussoorie,DR11749,"Welcomhotel By ITC Hotels, The Savoy"
HO10662,Chitvan Jungle Lodge,moderate,4str,Kanha,DR11053,Chitvan Jungle Lodge
HO10238,Taj Green Cove Resort & Spa,first-class,5str,Kovalam,DR10722,Taj Green Cove Resort & Spa
HO10725,Taurus Sarovar Portico,budget,3str,New Delhi,DR10368,Taurus Sarovar Portico
HO11435,Chandelao Garh,moderate,2str,Jodhpur,DR10331,Chandelao Garh
HO11686,Four Points by Sheraton Kochi Infopark,budget,5str,,DR11538,Four Points by Sheraton Kochi Infopark
HO10309,Nachana Haveli,moderate,3str,Jaisalmer,DR10024,Nachana Haveli
HO10333,Keys Select,budget,4str,Kochi (Cochin),DR10205,Keys Select
HO10742,Poovar Island Resort,moderate,4str,Poovar,DR11140,Poovar Island Resort
HO11842,Novotel,budget,5str,Jodhpur,DR11538,Novotel
HO11427,The Narayana Palace,budget,1str,Rishikesh,DR11805,The Narayana Palace
HO10805,Surya Mcleod,moderate,3str,Dharamshala,DR10593,Surya Mcleod
HO11388,Holiday Inn Resort,moderate,5str,Goa,DR11469,Holiday Inn Resort
HO11861,The Westin Sohna Resort & Spa,budget,5str,,DR11538,The Westin Sohna Resort & Spa
HO10244,Samode Safari Lodge,lux,4str,Bandhavgarh,DR10532,Samode Safari Lodge
HO12087,Royal Orchid Central,budget,4str,Jaipur,DR11538,Royal Orchid Central
HO10234,The Residency Tower,moderate,5str,Coimbatore,DR10464,The Residency Tower
HO10794,The Earth,first-class,1str,Amritsar,DR11129,The Earth
HO11921,Novotel,budget,5str,Jodhpur,DR11538,Novotel
HO10278,The Oberoi,lux,5str,New Delhi,DR10348,The Oberoi
HO10579,The Mirador,moderate,4str,Mumbai,DR10843,The Mirador
HO10107,Haze and Kites Resort,first-class,5str,Munnar,DR10277,Haze and Kites Resort
HO12316,Country Inn & Suites,budget,4str,Kota (RJ) ,DR12293,Country Inn & Suites
HO11999,Bloom Hotel,budget,3str,,DR11538,Bloom Hotel
HO11878,Hyatt Place,budget,1str,Jaipur,DR11538,Hyatt Place
HO10078,Courtyard By Marriott,first-class,5str,Agra,DR10209,Courtyard By Marriott
HO11699,Agonda Villas,budget,4str,,DR11538,Agonda Villas
HO12232,Landmark,budget,2str,Kathmandu,DR12655,Landmark
HO10006,Suryauday Haveli,first-class,4str,Varanasi,DR10133,Suryauday Haveli
HO12166,Sajjoys,budget,4str,Varkala,DR11538,Sajjoys
HO11087,Fortune Select Trinity,moderate,4str,Bengaluru,DR11361,Fortune Select Trinity
HO10098,Hyatt Regency,first-class,5str,Chennai,DR10214,Hyatt Regency
HO12394,Test vk,first-class,4str,,DR10101,Test vk
HO12339,Sterling V Grand,moderate,4str,Madurai,DR12749,Sterling V Grand
HO12354,Rose Amer - S,moderate,5str,,DR12368,Rose Amer - S
HO11067,Quality Inn VIHA,budget,3str,Kumbakonam,DR11179,Quality Inn VIHA
HO11502,Discovery,houseboat-moderate,houseboat-platinum,Alappuzha (Alleppey),DR12254,Discovery
HO10622,Taj Bengal,first-class,5str,Kolkata,DR10408,Taj Bengal
HO12110,Hornbill Camp,budget,3str,,DR11538,Hornbill Camp
HO10317,Trident,first-class,5str,Jaipur,DR10328,Trident
HO11397,Orchard Palace,moderate,1str,Gondal,DR11394,Orchard Palace
HO10892,Krishna Palace,moderate,4str,Mumbai,DR10803,Krishna Palace
HO11428,Glitz Westend Inn,budget,1str,New Delhi,DR11950,Glitz Westend Inn
HO11354,Radisson Blu,moderate,5str,Ludhiana,DR10630,Radisson Blu
HO12221,Costa River,moderate,3str,Varanasi,DR12665,Costa River
HO11789,Vibe Munnar Resorts & Spa,moderate,5str,Munnar,DR12408,Vibe Munnar Resorts & Spa
HO10008,Jaypee Palace Hotel & Convention Centre,first-class,5str-lux,Agra,DR10037,Jaypee Palace Hotel & Convention Centre
HO11052,Quality Inn Bez Krishnaa,moderate,3str,Visakhapatnam,DR11390,Quality Inn Bez Krishnaa
HO10978,Vivanta Navi Mumbai,first-class,5str,Navi Mumbai,DR11295,Vivanta Navi Mumbai
HO11850,Krishna Prakash Heritage Haveli,budget,3str,,DR11538,Krishna Prakash Heritage Haveli
HO10204,Ameya,first-class,5str-lux,Cherthala,DR10690,Ameya
HO11367,Holiday Inn (International Airport),moderate,5str,New Delhi,DR10141,Holiday Inn (International Airport)
HO10007,Ekaa Villa,moderate,1str,Agra,DR10099,Ekaa Villa
HO10440,Lemon Tree (Guindy),moderate,4str,Chennai,DR10769,Lemon Tree (Guindy)
HO10809,Punjab Village Farm,moderate,1str,Gurdaspur,DR11125,Punjab Village Farm
HO10354,Khem Villas,first-class,1str,Ranthambore,DR10748,Khem Villas
HO10511,Zone By The Park,budget,4str,Jaipur,DR10718,Zone By The Park
HO12111,Atali Ganga,budget,3str,,DR11538,Atali Ganga
HO11506,Spice Coast Cruises,houseboat-first-class,houseboat-platinum,Kumarakom,DR11068,Spice Coast Cruises
HO12377,Taj Mussoorie Foothills,first-class,5str,Dehradun,DR12857,Taj Mussoorie Foothills
HO11372,Grand Imperial,moderate,1str,Agra,DR11804,Grand Imperial
HO10938,Glenburn Penthouse,first-class,1str,Kolkata,DR11211,Glenburn Penthouse
HO11817,Isabel Palace,budget,3str,,DR11538,Isabel Palace
HO11025,Pal Garh,moderate,3str,Jodhpur,DR11221,Pal Garh
HO11821,Elephant Valley,budget,2str,Kodaikanal,DR12539,Elephant Valley
HO10918,The Park,moderate,5str,Navi Mumbai,DR10516,The Park
HO10834,Intercontinental Marine Drive,first-class,1str,Mumbai,DR10752,Intercontinental Marine Drive
HO10979,WelcomHeritage Maharani Bagh Orchard Retreat,moderate,3str,Ranakpur,DR10741,WelcomHeritage Maharani Bagh Orchard Retreat
HO12174,Fairfield By Marriott,budget,4str,Kathmandu,DR11538,Fairfield By Marriott
HO10815,Bijay Niwas Palace,moderate,3str,Bijaynagar,DR11113,Bijay Niwas Palace
HO10419,Madri Haveli,budget,1str,Udaipur (RJ),DR10132,Madri Haveli
HO10802,Fateh Safari Suites,moderate,3str,Kumbhalgarh,DR10451,Fateh Safari Suites
HO10095,The Desert Palace,budget,4str,Jaisalmer,DR10312,The Desert Palace
HO12010,Diplomat,budget,3str,Mumbai,DR11538,Diplomat
HO10851,Pagoda Resorts,budget,3str,Alappuzha (Alleppey),DR10868,Pagoda Resorts
HO11071,The Aodhi,moderate,3str,Kumbhalgarh,DR11341,The Aodhi
HO10565,Taj MG Road,first-class,5str,Bengaluru,DR10992,Taj MG Road
HO11531,Mulberry Shades,first-class,5str,Bengaluru,DR12322,Mulberry Shades
HO10638,Radisson Blu,moderate,5str,Amritsar,DR10522,Radisson Blu
HO12138,Shipra Residency,budget,3str,Ujjain,DR11538,Shipra Residency
HO12006,Sinclairs Bay View,budget,3str,,DR11538,Sinclairs Bay View
HO11078,Intercontinental (Mahabalipuram),first-class,5str,Mamallapuram (Mahabalipuram),DR11384,Intercontinental (Mahabalipuram)
HO10091,Bella Casa,budget,4str,Jaipur,DR10243,Bella Casa
HO11344,Howard Johnson By Wyndham,moderate,4str,Udaipur (RJ),DR11509,Howard Johnson By Wyndham
HO10423,The Neem Tree,moderate,1str,Udaipur (RJ),DR10222,The Neem Tree
HO11246,Chalston Beach Resort,moderate,3str,Goa,DR10700,Chalston Beach Resort
HO10921,Surasena Regal Vista,budget,4str,Agra,DR11204,Surasena Regal Vista
HO11504,Spice Routes,houseboat-lux,houseboat-platinum,Alappuzha (Alleppey),DR10257,Spice Routes
HO11233,Trinity,moderate,3str,Kochi (Cochin),DR11353,Trinity
HO10163,Taj Holiday Village Resort & Spa,first-class,5str,Goa,DR10658,Taj Holiday Village Resort & Spa
HO10092,Dera Rawatsar,moderate,heritage,Jaipur,DR10252,Dera Rawatsar
HO10753,La Place Sarovar Portico,moderate,3str,Lucknow,DR10627,La Place Sarovar Portico
HO10375,Visalam,first-class,3str,Karaikudi,DR10566,Visalam
HO11687,Regenta Place,budget,4str,Jaipur,DR11538,Regenta Place
HO11320,Radisson (Udyog Vihar),moderate,5str,Gurgaon,DR10796,Radisson (Udyog Vihar)
HO12029,Silver Tips,budget,4str,Munnar,DR11538,Silver Tips
HO10209,Hoysala Village Resort,first-class,3str,Hassan,DR10714,Hoysala Village Resort
HO11885,KTDC Waterscapes,budget,4str,,DR11538,KTDC Waterscapes
HO11162,Ananda In The Himalayas,lux,5str,Narendra Nagar (UK),DR11555,Ananda In The Himalayas
HO12329,Grand Madurai,first-class,1str,Madurai,DR12726,Grand Madurai
HO10974,Connaught House,moderate,5str,Mount Abu,DR10641,Connaught House
HO12107,Antalya By Divine Ganga Cottage,budget,3str,Rishikesh,DR11538,Antalya By Divine Ganga Cottage
HO10661,Bandhav Vilas,first-class,3str,Bandhavgarh,DR11047,Bandhav Vilas
HO12144,Hyatt Place,budget,5str,Jaipur,DR11538,Hyatt Place
HO11965,"Welcomhotel By ITC Hotels, Bella Vista",moderate,3str,Panchkula,DR12434,"Welcomhotel By ITC Hotels, Bella Vista"
HO11685,Namami Wellness And Health Retreat,budget,1str,,DR11538,Namami Wellness And Health Retreat
HO12229,Fish Tail Lodge,moderate,5str,Pokhara,DR12655,Fish Tail Lodge
HO11846,Kana,budget,1str,,DR11538,Kana
HO12226,Barahi,moderate,4str,Kathmandu,DR12655,Barahi
HO11086,Vivanta,moderate,5str,Guwahati,DR11447,Vivanta
HO11786,Sarovar Portico Dehradun,budget,3str,,DR11538,Sarovar Portico Dehradun
HO11080,Fortune Park,moderate,4str,Ahmedabad,DR11378,Fortune Park
HO10598,Blue Jelly,houseboat-lux,houseboat-platinum,Kumarakom,DR10756,Blue Jelly
HO10695,Windermere River House,moderate,4str,Kothamangalam (KL) ,DR10439,Windermere River House
HO11357,Lemon Tree (Shimona),moderate,4str,Chennai,DR11523,Lemon Tree (Shimona)
HO10629,Vivanta,first-class,5str,Aurangabad (MH) ,DR10528,Vivanta
HO10992,The Bamboo Forest Safari Lodge,moderate,1str,Tadoba,DR11294,The Bamboo Forest Safari Lodge
HO10010,Rambagh Palace,lux,5str,Jaipur,DR10081,Rambagh Palace
HO11812,The Chancery,budget,4str,Bengaluru,DR12727,The Chancery
HO11586,Vivaana Museum,first-class,1str,Nawalgarh,DR12273,Vivaana Museum
HO10184,Tilar Siro,first-class,4str,Havelock,DR10454,Tilar Siro
HO11603,The Hill House,first-class,1str,Nathdwara,DR12358,The Hill House
HO11543,Time Square,budget,4str,Alappuzha (Alleppey),DR12125,Time Square
HO10447,Colonel's Retreat (Defence Colony),moderate,2str,New Delhi,DR10893,Colonel's Retreat (Defence Colony)
HO10312,Rohet House,first-class,1str,Jodhpur,DR10341,Rohet House
HO11196,Regenta Inn (Devanahalli),moderate,3str,Bengaluru,DR11776,Regenta Inn (Devanahalli)
HO10487,Heritage Resort,budget,4str,Bikaner,DR10952,Heritage Resort
HO10366,President - IHCL SeleQtions,first-class,5str,Mumbai,DR10444,President - IHCL SeleQtions
HO12092,Jungle Vilas,moderate,4str,Ranthambore,DR12453,Jungle Vilas
HO11119,Ging Tea House,moderate,5str,Darjeeling,DR11327,Ging Tea House
HO10459,Crowne Plaza New Delhi Okhla,first-class,5str,New Delhi,DR10116,Crowne Plaza New Delhi Okhla
HO11150,Aangan Resort,budget,1str,Ranthambore,DR11550,Aangan Resort
HO11829,Niraamaya Retreats Aradura,moderate,3str,Kohima,DR12511,Niraamaya Retreats Aradura
HO10033,Rivatas By Ideal,moderate,5str,Varanasi,DR10002,Rivatas By Ideal
HO10746,Hilton,moderate,5str,Chennai,DR10767,Hilton
HO11743,The Fern Residency,budget,4str,Bhopal,DR11538,The Fern Residency
HO10435,Maharaja Ganga Mahal,budget,4str,Bikaner,DR10226,Maharaja Ganga Mahal
HO11040,Fortune Park JPS Grand,moderate,5str,Rajkot,DR11212,Fortune Park JPS Grand
HO11022,Taj Usha Kiran Palace,lux,5str,Gwalior,DR10302,Taj Usha Kiran Palace
HO10129,Samsara,budget,4str,Dechu,DR10489,Samsara
HO11574,Ging Tea House,moderate,5str,Darjeeling,DR12357,Ging Tea House
HO12375,The Lotus Palace,moderate,1str,Chettinadu,DR12799,The Lotus Palace
HO11565,Classic Sapphire Ananta,moderate,1str,Bundi,DR12210,Classic Sapphire Ananta
HO12076,Saptha Resort & Spa,budget,1str,,DR11538,Saptha Resort & Spa
HO11769,Ramada Darjeeling,budget,4str,,DR11538,Ramada Darjeeling
HO10708,Anopura,first-class,5str,Jaipur,DR11070,Anopura
HO12126,Club Mahindra,budget,3str,Thekkady (Periyar/Kumily),DR11538,Club Mahindra
HO11998,Lemon Tree Port Blair,budget,4str,,DR11538,Lemon Tree Port Blair
HO10935,Rang Mahal,moderate,4str,Jaisalmer,DR10311,Rang Mahal
HO10254,ITC Mughal,first-class,5str,Agra,DR10041,ITC Mughal
HO12230,Kathmandu Guest House,budget,standard-hotel,Kathmandu,DR12655,Kathmandu Guest House
HO11417,Kumbhalgarh Valley Resort,budget,4str,Kumbhalgarh,DR10453,Kumbhalgarh Valley Resort
HO12333,Anantya In The Village,moderate,3str,Alwarthirunagari,DR12791,Anantya In The Village
HO11642,Aadrika,budget,3str,,DR11538,Aadrika
HO11534,Gateway Varkala - IHCL SeleQtions,moderate,4str,Varkala,DR12291,Gateway Varkala - IHCL SeleQtions
HO11666,D'S Casa,budget,3str,Dharamshala,DR12643,D'S Casa
HO10281,Asia Health Resort,moderate,4str,Dharamshala,DR10751,Asia Health Resort
HO11219,The Serai,first-class,5str,Bandipur,DR11410,The Serai
HO10691,The Fern Gir Forest Resort,moderate,5str,Sasan Gir,DR10624,The Fern Gir Forest Resort
HO10981,Elysium Resort & Spa,first-class,1str,Shimla,DR11222,Elysium Resort & Spa
HO11061,Comfort Inn Alstonia,budget,4str,Amritsar,DR11387,Comfort Inn Alstonia
HO10826,1st Gate Home-Fusion,moderate,3str,Jaisalmer,DR11114,1st Gate Home-Fusion
HO11288,WelcomHeritage Azora By Ayatana,moderate,3str,Kochi (Cochin),DR11508,WelcomHeritage Azora By Ayatana
HO10046,Aloft,first-class,5str,New Delhi,DR10057,Aloft
HO11192,Shahpura Abhaneri Resort,moderate,1str,Abhaneri,DR11391,Shahpura Abhaneri Resort
HO12135,Hills & Hues,first-class,5str,Thekkady (Periyar/Kumily),DR12557,Hills & Hues
HO11177,Crimson Park,moderate,4str,Jaipur,DR11557,Crimson Park
HO11448,Garh Kumbha,budget,1str,Kumbhalgarh,DR11396,Garh Kumbha
HO10621,Coral House Homestay,budget,1str,Agra,DR11045,Coral House Homestay
HO10567,Royal Orchid Central,moderate,4str,Jaipur,DR11017,Royal Orchid Central
HO11562,Irai Safari Retreat,first-class,3str,Tadoba,DR12355,Irai Safari Retreat
HO10113,Radisson Jaipur City Center,moderate,5str,Jaipur,DR10300,Radisson Jaipur City Center
HO11272,Cherai Beach Resorts,moderate,1str,Kochi (Cochin),DR11482,Cherai Beach Resorts
HO10737,Vivanta Sikkim,moderate,5str,Pakyong,DR11162,Vivanta Sikkim
HO11364,Flame Of The Forest,moderate,1str,Kanha,DR11238,Flame Of The Forest
HO11381,Wada 1,budget,1str,Aihole,DR12038,Wada 1
HO11518,"Manvar Kumat, Thar Luxury Camp",first-class,1str,Manvar (RJ),DR10637,"Manvar Kumat, Thar Luxury Camp"
HO10973,WelcomHeritage Jungle Home,moderate,1str,Pench,DR11325,WelcomHeritage Jungle Home
HO10877,Mizpah,moderate,1str,New Delhi,DR10508,Mizpah
HO10352,Purity,moderate,3str,Muhamma,DR10770,Purity
HO11339,Keys Select,budget,4str,Thiruvananthapuram (Trivandrum),DR10795,Keys Select
HO11224,Gokulam Grand Turtle On The Beach,first-class,5str,Kovalam,DR11418,Gokulam Grand Turtle On The Beach
HO10064,Mahendra Prakash,moderate,3str,Udaipur (RJ),DR10134,Mahendra Prakash
HO10246,Radisson Bengaluru City Center,moderate,5str,Bengaluru,DR10682,Radisson Bengaluru City Center
HO10575,Fort Rajwada,first-class,4str,Jaisalmer,DR10719,Fort Rajwada
HO10549,Chanoud Garh,moderate,3str,Chanoud,DR11013,Chanoud Garh
HO11558,Tree Of Life Birdsong Chalets,first-class,1str,Dharamshala,DR12346,Tree Of Life Birdsong Chalets
HO10215,Abode,first-class,3str,Mumbai,DR10398,Abode
HO10630,Pal Haveli,moderate,1str,Jodhpur,DR11032,Pal Haveli
HO11028,Tiger's Den Resort,moderate,3str,Bandhavgarh,DR11231,Tiger's Den Resort
HO12259,Fairfield By Marriott,budget,3str,Kathmandu,DR12655,Fairfield By Marriott
HO11491,Bundela Resort,moderate,3str,Khajuraho,DR12227,Bundela Resort
HO11053,Sterling,budget,4str,Darjeeling,DR11379,Sterling
HO12003,Apani Dhani Eco-Lodge,moderate,1str,Nawalgarh,DR12583,Apani Dhani Eco-Lodge
HO10197,Dera Mandawa,first-class,3str,Jaipur,DR10251,Dera Mandawa
HO12356,Atithi Camp & Resort,budget,4str,Pushkar,DR12752,Atithi Camp & Resort
HO10937,Windsor Heights,budget,4str,Gurgaon,DR11170,Windsor Heights
HO11605,Shivadya Camps,first-class,1str,Prayagraj,DR12393,Shivadya Camps
HO11120,Classic Diplomat,budget,3str,New Delhi,DR11486,Classic Diplomat
HO10836,Fairfield By Marriott,moderate,4str,Amritsar,DR10519,Fairfield By Marriott
HO10655,Sawai Man Mahal,lux,4str,Jaipur,DR11046,Sawai Man Mahal
HO11303,Radisson Blu Resort,moderate,5str,Goa,DR10645,Radisson Blu Resort
HO10230,Castle Bijaipur,moderate,4str,Bijaipur,DR10576,Castle Bijaipur
HO11362,Kyriad,budget,4str,Vijayapura (Bijapur),DR11412,Kyriad
HO11940,The Johnson's,budget,3str,,DR11538,The Johnson's
HO11571,Heritage Resort,moderate,4str,Coorg (Kodagu),DR12364,Heritage Resort
HO10484,Bamboo Saa Resort & Spa,moderate,5str,Udaipur (RJ),DR10073,Bamboo Saa Resort & Spa
HO11714,Regenta Place Cunningham,budget,1str,Bengaluru,DR11538,Regenta Place Cunningham
HO10538,The Legend,moderate,4str,Prayagraj,DR10486,The Legend
HO11394,Royal Palace,budget,1str,Dharamshala,DR11806,Royal Palace
HO11069,The Pride,moderate,4str,Pune,DR11332,The Pride
HO11742,JW Marriott,budget,5str,Kolkata,DR11538,JW Marriott
HO11446,Nikkiâ€™s Nest,moderate,2str,Kovalam,DR11607,Nikkiâ€™s Nest
HO10632,Rann Riders By Kaafila,first-class,3str,Dasada,DR11036,Rann Riders By Kaafila
HO12388,Bhutan Package,budget,1str,Visakhapatnam,DR12901,Bhutan Package
HO10675,Taj Chandigarh,first-class,5str,Chandigarh,DR11081,Taj Chandigarh
HO10368,Gokulam Grand Hotel & Spa,moderate,5str,Bengaluru,DR10874,Gokulam Grand Hotel & Spa
HO10226,Grand Hotel D'Europe,moderate,1str,Puducherry (Pondicherry),DR10013,Grand Hotel D'Europe
HO10673,Comfort Inn Insys,moderate,4str,Bengaluru,DR11067,Comfort Inn Insys
HO11532,JW Marriott Bengaluru Prestige Golfshire Res.& Spa,first-class,5str,Bengaluru,DR12321,JW Marriott Bengaluru Prestige Golfshire Res.& Spa
HO11216,Harrisons,budget,3str,,DR11439,Harrisons
HO11416,The Jaipur House,budget,3str,Mount Abu,DR10642,The Jaipur House
HO10586,Welcomhotel By ITC Hotels,first-class,4str,Jodhpur,DR11004,Welcomhotel By ITC Hotels
HO12117,Mountain Shadows,budget,5str,Wayanad,DR11538,Mountain Shadows
HO10819,Malji Ka Kamra,moderate,3str,Churu,DR11155,Malji Ka Kamra
HO10665,Exotic Luxury Camps,first-class,1str,Jaisalmer,DR10958,Exotic Luxury Camps
HO12263,The Terraces Resort & Spa,first-class,5str-lux,Bhaktapur,DR12655,The Terraces Resort & Spa
HO10582,Kaner Retreat,first-class,1str,Jodhpur,DR10985,Kaner Retreat
HO11412,Caravela Beach Resort,first-class,5str,Goa,DR11609,Caravela Beach Resort
HO10811,5 By OYO Metropolitan,moderate,5str,Jaipur,DR11169,5 By OYO Metropolitan
HO10492,The Tigress,moderate,5str,Ranthambore,DR10400,The Tigress
HO11529,Justa Palampur Resort & Convention Centre,moderate,4str,Palampur,DR12286,Justa Palampur Resort & Convention Centre
HO11422,Pokaran Desert Resort,budget,1str,Pokhran,DR11416,Pokaran Desert Resort
HO11066,Sterling,budget,3str,Karwar,DR11376,Sterling
HO10653,Fairfield By Marriott,moderate,4str,Jodhpur,DR10333,Fairfield By Marriott
HO11892,Aalankrita resort and convention,budget,4str,Hyderabad,DR11538,Aalankrita resort and convention
HO10067,The Raintree (St. Mary's Road),moderate,5str,Chennai,DR10121,The Raintree (St. Mary's Road)
HO11041,Sinclairs Retreat Dooars,moderate,3str,Chalsa,DR11464,Sinclairs Retreat Dooars
HO11106,The Postcard Velha,first-class,1str,Goa,DR11456,The Postcard Velha
HO10003,47 Jobner Bagh,moderate,home-stay,Jaipur,DR10053,47 Jobner Bagh
HO10747,Lemon Tree Premier (Leisure Valley 1),moderate,4str,Gurgaon,DR10148,Lemon Tree Premier (Leisure Valley 1)
HO12360,Reni Pani Jungle Lodge,first-class,3str,Madhai (Satpura),DR10601,Reni Pani Jungle Lodge
HO10763,Amber Dale,moderate,4str,Munnar,DR11151,Amber Dale
HO11269,Four Points By Sheraton,moderate,1str,Navi Mumbai,DR11866,Four Points By Sheraton
HO10080,Howard Plaza,moderate,4str,Agra,DR10127,Howard Plaza
HO12283,Novotel Jaipur Convention Centre,first-class,5str,Jaipur,DR12753,Novotel Jaipur Convention Centre
HO11208,Bloomrooms (Calangute),budget,3str,Goa,DR11450,Bloomrooms (Calangute)
HO10390,Shahpura House,moderate,3str,Jaipur,DR10323,Shahpura House
HO10299,28 Kothi,moderate,3str,Jaipur,DR10238,28 Kothi
HO11990,The Westin Garden City,budget,5str,,DR11538,The Westin Garden City
HO11337,Elephant Route,budget,3str,Thekkady (Periyar/Kumily),DR10867,Elephant Route
HO10329,Lakes and Lagoon - 1 BRH,houseboat-first-class,houseboat-gold,Alappuzha (Alleppey),DR10241,Lakes and Lagoon - 1 BRH
HO12191,Vanilla County,budget,4str,Vagamon,DR12340,Vanilla County
HO11166,Ram Pratap Palace,first-class,4str,Udaipur (RJ),DR11357,Ram Pratap Palace
HO11334,Reen Resorts Aanavilasam Plantation,moderate,4str,Thekkady (Periyar/Kumily),DR11535,Reen Resorts Aanavilasam Plantation
HO10342,The Fern Residency,moderate,4str,Jaipur,DR10813,The Fern Residency
